name	distance	shape	rejected
Alien_Warrioress	15.5	0.873	
MioFantasy2_CPAL	19.2	0.873	
Brainer_4_CPAL	19.5	0.873	
Fuso_armor	16.7	0.873	
X67_Ped	24.1	0.873	
PirBikiniPed_CPAL	18.4	0.873	
Soldat3_CPAL	7.2	0.873	
RedMage_Cube_FG_256_CPAL	10.4	0.874	
Gudrun_Interrog3A2_CPAL	21.1	0.874	
BootCamp_Marza1_CPAL	17.8	0.874	
Expeditions_Recon_CPAL	18.3	0.874	
VIP_17_CPAL	14.4	0.876	
Aurora_Pirate_FG_364_CPAL	25.2	0.876	
Gnome_Explorer_CPAL	11.9	0.877	
Crazy_Hassan	20.4	0.877	
XX23	13.9	0.877	
CA_Spitfire	18.5	0.878	
BigCannons_FG_443_CPAL	22.1	0.878	
Witch_2	14.6	0.878	
Militiaman_CPAL	9.8	0.878	
Dropship_CPAL	14.9	0.878	
VIP_CIO_CPAL	22.5	0.878	
Ninja_Warrior_39_CPAL	13.0	0.878	
ElevatorShaft_FG_340_CPAL	20.8	0.878	
GLOBETROTTER	31.8	0.878	
Canny_Queen	18.3	0.879	
GDX_Haydee23_CPAL	14.3	0.879	
Huntress_X9_CPAL	19.9	0.879	
Captain_RedGoldOnly_CPAL	19.2	0.879	
Robothead_825_CPAL	10.8	0.880	
MagneticContainment_FG_373_CPAL	29.1	0.880	
GDX_FG_Interrog2_Cut_CPAL	18.7	0.880	
Bigtorique	34.6	0.880	
Lamia_Recruitment_CPAL	23.4	0.880	
PirateyLingerie_FG_426_CPAL	29.8	0.880	
Hellerian_5	23.2	0.881	
CaptainRank02_Marza1b_CPAL	28.5	0.881	
AgressorGal_FG_105_CPAL	20.4	0.881	
BlueShield_FG_419_CPAL	25.4	0.882	
Gudrun_Test3	19.4	0.883	
Saya_Dragon	13.4	0.883	
Ninjas_2_CPAL	15.5	0.883	
GudrunSuit-397_CPAL	12.0	0.884	
H_013	14.0	0.884	
Kashub1	17.5	0.884	
Dream8_CPAL	24.5	0.884	
Sel_1_CPAL	13.1	0.884	
TANK_KILLER	17.6	0.884	
Nyah	13.1	0.884	
X88_Ped	35.0	0.885	
C_100_CPAL	17.4	0.885	
X26_Ped_CPAL	9.7	0.886	
Lovers2	16.2	0.886	
X69_CPAL	18.6	0.887	
C_122_CPAL	22.9	0.887	
C_123	31.7	0.888	
XX12	13.2	0.889	
X30_CPAL	9.6	0.889	
CA_RedBaron_CPAL	19.7	0.889	
RedMage_Castle_FG_251_CPAL	8.9	0.889	
VIP_16_CPAL	22.3	0.889	
C_051	33.4	0.889	
GudrunBride_FG_105_CPAL	39.3	0.890	
NewspaperMeme_FG_532_CPAL	16.7	0.890	
ORIGINAL8B_CPAL	18.5	0.890	
Jetpacks	24.6	0.890	
ArmWrestle_FG_333_CPAL	16.0	0.891	
C_015_CPAL	14.6	0.891	
BlackDragon_FG_411_CPAL	23.3	0.891	
GuerillaBack_FG_177_CPAL	8.1	0.892	
Rifles_Summary	18.6	0.893	
VIP_21	14.8	0.893	
Mutant_Wars_AI1_CPAL	9.3	0.893	
AMAZON	22.1	0.893	
BDAYCAKE_A_CPAL	16.3	0.894	
C_021_CPAL	36.4	0.894	
Laser_Nuclear_Ped	34.4	0.895	
Lifter4_CPAL	19.6	0.895	
IceAge_FG_467_CPAL	19.8	0.895	
Shotgun_7	9.6	0.895	
CryogirlX_CPAL	25.6	0.895	
Samira_CPAL	11.1	0.895	
CA_573_CPAL	23.2	0.895	
Crusade2	11.2	0.896	
Wolves	19.9	0.896	
Resistance1_CPAL	11.7	0.897	
CA_2_CPAL	21.2	0.897	
Bike_3	33.3	0.897	
BloomLady_CakeEater_FG_417_CPAL	19.6	0.897	
Desert	21.1	0.898	
Damsel_Grok_70_CPAL	12.4	0.898	
MISSION_KILLS_11	21.1	0.899	
C_002_CPAL	19.9	0.900	
OutroNucc12_CPAL	21.7	0.900	
HFAST1	20.4	0.900	
Ninja_Gal_5_CPAL	21.9	0.900	
XC_129_CPAL	10.7	0.900	
CANNONKILL	24.3	0.901	
X56_Ped	18.8	0.901	
GudrunOrigins_PC_123_CPAL	17.6	0.901	
C_139_CPAL	17.1	0.901	
Captain_GoldNoGreen_CPAL	7.9	0.901	
Pirate_X2_CPAL	6.0	0.901	
Santa_Muerte	16.6	0.902	
ZOMBIEGAL	25.0	0.902	
OgreSoldier_FG_618_CPAL	8.1	0.902	
ROOM_SERVICE	21.8	0.902	
Ninja_Assassin_7_CPAL	10.5	0.903	
GDX_Prison2_CPAL	21.2	0.903	
Smugglers_3	13.1	0.903	
SNIPERKILL	21.8	0.903	
GnomeInterrog_FG_40_CPAL	10.7	0.904	
C_126_CPAL	23.5	0.904	
CavernHuntining_FG_49_CPAL	10.1	0.905	
C_154	15.2	0.906	
Pir_Adventurer_FG_51B_CPAL	8.2	0.906	
MonsterFighting_FG_505_CPAL	26.6	0.907	
MISSION_KILLS_5	27.0	0.907	
Salvage	17.0	0.907	
C_013_CPAL	14.1	0.907	
VETSOLDIER_CPAL	9.5	0.907	
VIPHUNTER	23.2	0.907	
IntroBaseFound_FG_843_CPAL	21.6	0.908	
C_006_CPAL	14.1	0.908	
SEKAR_CPAL	29.5	0.908	
X73_Ped	12.8	0.908	
VIP_3	10.1	0.909	
AnnihilatorGal_FG_392_CPAL	7.2	0.909	
Big_Cat	17.2	0.910	
PirateTreasure	17.0	0.910	
CA_5_CPAL	22.8	0.910	
Prize_M_Lasers_CPAL	10.8	0.910	
MatterCompression_FG_113_CPAL	17.4	0.911	
BASE_DEFENSE	19.9	0.911	
Supercore	22.9	0.911	
Mars	16.3	0.911	
Tsundere_CPAL	15.7	0.912	
GudrunDuel1FG_CPAL	16.1	0.912	
Melee_5	15.0	0.912	
Labirynthus_Noctis	21.5	0.912	
HOLY_WARRIOR	20.3	0.913	
Pir_Nude_FG_55_CPAL	14.2	0.913	
X33_Ped_CPAL	15.5	0.913	
C_108	12.0	0.913	
QUADKILL	15.1	0.914	
City_Infiltration_CPAL	7.3	0.914	
VIP_9	10.1	0.914	
C_128	20.1	0.916	
BefriendingSlime_FG_119_CPAL	26.9	0.916	
Air_Boarding2	13.5	0.917	
C_137_CPAL	13.1	0.918	
Aurora_Ice_FG_44_CPAL	11.9	0.918	
BlueWitch_FG_32_CPAL	10.4	0.919	
BULWARK	21.1	0.921	
GDX_008_CPAL	5.2	0.922	
TheUnderground_FG_CPAL	11.1	0.923	
CaptainRank01_FG_342_CPAL	20.2	0.923	
XX33	20.7	0.923	
Hangar_1	19.8	0.924	
Humvee_FG_198_CPAL	18.5	0.925	
C_112	20.6	0.925	
H_016	15.9	0.925	
AircraftWeapons_FG_102_CPAL	9.4	0.925	
HandheldShields_Marza1_CPAL	29.3	0.925	
AuroraHouri_FG_346_CPAL	27.4	0.925	
CA_17_CPAL	6.6	0.925	
Orbit	27.1	0.925	
BloomLady_FG_418_CPAL	13.2	0.927	
Mutant_Resistance	13.1	0.927	
Witch_48_CPAL	22.0	0.927	
Socore_02	13.3	0.927	
CONDEMNED2_CPAL	9.8	0.927	
Gudrun_BDSM_213_CPAL	7.8	0.927	
Pir_Adventurer_FG_50_CPAL	9.0	0.928	
DBLKILL	12.4	0.928	
Pir_Nude_FG_56_CPAL	12.1	0.928	
Gnome_Tunnel_CPAL	11.2	0.929	
Hawkeye_Ped	42.5	0.929	
Spacebar2_CPAL	11.0	0.929	
Alenium_FG_224_CPAL	11.4	0.930	
WayOfSunlight_CPAL	24.6	0.930	
HumanistTank_FG_466_CPAL	12.3	0.930	
Brainer_Portal_CPAL	12.7	0.931	
CA_Necro1	27.5	0.932	
ALIEN_BASE_ASSAULT	14.6	0.932	
GDX_FG_MilkMaid_CPAL	12.4	0.932	
Gudrun_Tower1_CPAL	10.8	0.932	
WastelandPriestessD_FG_78	23.0	0.933	
Medical_H2_CPAL	14.5	0.934	
CA_8	16.1	0.934	
Archer_8_CPAL	7.5	0.934	
Shadowrealm	27.5	0.934	
WastelandPriestessA_FG_75M	10.8	0.935	
GudrunDuel3FG_CPAL	18.3	0.935	
GuerillaBack_FG_123_CPAL	6.6	0.935	
SARGEANT	19.1	0.936	
HEROIC_FORM_CPAL	21.2	0.936	
ZEROGEE	22.6	0.936	
C_075_CPAL	14.6	0.936	
H_002_CPAL	14.6	0.937	
Tube_CPAL	19.4	0.937	
Mad_Science_P1_CPAL	12.5	0.937	
HX_195	28.2	0.938	
C_053	14.7	0.938	
AntiE511_FG_101_CPAL	13.4	0.938	
GDX_FG_Torment1_CPAL	15.8	0.939	
CA_GOLDHAWK_CPAL	10.1	0.939	
Gnome_3_CPAL	14.5	0.940	
Dream4	25.7	0.940	
DesertFort_CPAL	15.6	0.941	
Contact_Fuso	17.6	0.941	
TaserGal_CPAL	11.1	0.943	
WAR1	16.3	0.943	
Sorcy_1	10.4	0.943	
C_085_CPAL	13.5	0.944	
PeasantSoldiers_FG_574_CPAL	7.9	0.944	
SoulDoll_FG_123_CPAL	9.9	0.944	
Public_Enemy_FG_41_CPAL	10.5	0.945	
AI_Theban_Clone_Armor_CPAL	21.6	0.945	
Whirrrr_CPAL	11.0	0.945	
Dreadlands_FG_69_CPAL	8.7	0.945	
Green_Pod_6_CPAL	17.4	0.946	
XX13_CPAL	6.4	0.947	
Gudrun_BlueSorceress_394_CPAL	8.2	0.947	
C_003_CPAL	8.1	0.947	
Guerilla_Sniper_Grok_70_CPAL	11.4	0.948	
GnomeMil_FG_44_CPAL	6.4	0.948	
Girl_Red_CPAL	11.1	0.949	
Gudrun_Portrait_CPAL	7.7	0.949	
Wet_And_Red_CPAL	13.0	0.949	
Chemical_FG_441_CPAL	16.9	0.950	
C_064_CPAL	5.2	0.950	
REVOLVINGDOOR_CPAL	18.6	0.950	
Raider_Mistress_001_CPAL	9.6	0.953	
Black_Towers	7.3	0.953	
Spaceships_5	23.6	0.954	
Cleo_5_CPAL	31.5	0.954	
C_109	16.2	0.956	
MaleSoldiers_FG_566_CPAL	6.6	0.956	
BossGal_FG_102_CPAL	6.2	0.958	
Prize_World	5.8	0.958	
DIMENSION	29.9	0.959	
Gudrun_Badendo_CPAL	8.1	0.960	
PrawaKirkhoffa_CPAL	7.9	0.960	
Guildmaster2_CPAL	6.6	0.961	
WH221_CPAL	5.9	0.963	
WastelandPriestessC_FG_77	6.1	0.963	
C_039_CPAL	6.5	0.964	
StealthSuit_FG_53_CPAL	6.6	0.965	
Devastator_Ped	13.0	0.968	
TakeMeToYourDealer_CPAL	8.0	0.969	
RailPod_FG_223_CPAL	11.7	0.969	
Bookworm_Blonde_FG_67_CPAL	5.2	0.969	
TRAPMASTER2_CPAL	9.4	0.970	
HINDES	14.0	0.970	
Underwater_FG_47_CPAL	8.5	0.972	
Victory	7.5	0.975	
GDX_powered	16.7	0.975	
Green_Armor_CPAL	5.6	0.975	
Mystic_Waves	17.8	0.976	
ZrbiteReactor_AI_332_CPAL	5.9	0.976	
MunIntro_FG_373_CPAL	5.3	0.976	
Mars_3_CPAL	10.6	0.976	
WizResources_FG_442_CPAL	5.7	0.977	
Comet	14.8	0.977	
Captaine_Gold_CPAL	7.9	0.978	
Cyberhead_CPAL	8.1	0.978	
Electricity	5.3	0.980	
X11_CPAL	7.0	0.980	
SoldierGal_FG_601_CPAL	3.9	0.983	
CA_3_CPAL	23.0	0.985	
C_080_CPAL	6.6	0.986	
Lawnch_CPAL	6.1	0.987	
Reyi_Circuitry_CPAL	4.0	0.993	
